Time,# of Counts Detected within Interval,CPM within Interval
1634787118.3879707,0,0.0
1634787123.3934731,1,12.0
1634787128.3988936,3,36.0
1634787133.404334,1,12.0
1634787138.4097593,1,12.0
1634787143.4151845,2,24.0
1634787148.4206152,1,12.0
1634787153.4260278,2,24.0
1634787158.4314442,0,0.0
1634787163.4368653,1,12.0
1634787168.4422781,0,0.0
1634787173.4476852,0,0.0
1634787178.4531102,0,0.0
1634787183.4585283,0,0.0
1634787188.4639544,2,24.0
1634787193.4693959,1,12.0
1634787198.4748287,0,0.0
1634787203.4802566,2,24.0
1634787208.4856765,4,48.0
1634787213.4911036,0,0.0
1634787218.496526,1,12.0
1634787223.5019498,1,12.0
1634787228.5073724,0,0.0
1634787233.5127857,1,12.0
1634787238.5182033,1,12.0
1634787243.523676,1,12.0
1634787248.5276947,0,0.0
1634787253.533171,0,0.0
1634787258.5387106,0,0.0
1634787263.543602,1,12.0
1634787268.549009,4,48.0
1634787273.554395,4,48.0
1634787278.559804,0,0.0
1634787283.5652175,2,24.0
1634787288.5706525,1,12.0
1634787293.576041,1,12.0
1634787298.581471,0,0.0
1634787303.586857,3,36.0
1634787308.5922773,1,12.0
1634787313.597689,3,36.0
1634787318.6031077,1,12.0
1634787323.6085234,2,24.0
1634787328.6139486,2,24.0
1634787333.6193619,0,0.0
1634787338.623591,0,0.0
1634787343.6289978,2,24.0
1634787348.634423,2,24.0
1634787353.6398437,1,12.0
1634787358.6452556,2,24.0
1634787363.6506689,0,0.0
1634787368.6560774,0,0.0
1634787373.6615133,1,12.0
1634787378.6669304,1,12.0
1634787383.6723661,2,24.0
1634787388.6777909,4,48.0
1634787393.6832125,1,12.0
1634787398.6886935,4,48.0
1634787403.6941032,1,12.0
1634787408.6995194,0,0.0
1634787413.7049499,2,24.0
1634787418.7103376,2,24.0
